Campaign_Group,Campaign_Name,Ad_Name,Date,Objective,Ad_Format,Device,Job_Function,Seniority,Company_Size,Industry,Impressions,Clicks,CTR,Conversions,Conversion_Rate,Spend,CPC,Revenue,ROAS,Leads,Lead_Form_Completion_Rate,Engagement_Rate
Holiday_Group,Holiday_Campaign_2024,Finance_Ad,2024-06-01,Conversions,Single_Image,Mobile,Finance,C-Level,10001+,Marketing,525664,18595,3.54,1450,7.8,37112.45,2.0,240910.36,6.49,1450,75.11,4.17
Holiday_Group,Holiday_Campaign_2024,IT_Ad,2024-06-01,Lead_Generation,Single_Image,Mobile,IT,C-Level,10001+,Education,373621,7485,2.0,676,9.03,21680.72,2.9,144767.83,6.68,676,77.24,3.6
Black_Group,Black_Friday_2024,HR_Ad,2024-06-01,Lead_Generation,Video,Desktop,HR,Manager,501-1000,Technology,571030,19752,3.46,1688,8.55,40604.38,2.06,341160.53,8.4,1688,65.8,3.94
Black_Group,Black_Friday_2024,Marketing_Ad,2024-06-01,Brand_Awareness,Carousel,Mobile,Marketing,VP,10001+,Education,408069,13851,3.39,1261,9.1,38262.29,2.76,209062.34,5.46,1261,73.99,3.42
Cyber_Group,Cyber_Monday_2024,Marketing_Ad,2024-06-01,Brand_Awareness,Single_Image,Desktop,Marketing,Manager,501-1000,Consulting,267800,7959,2.97,402,5.05,19465.08,2.45,78835.67,4.05,402,69.87,3.36
Cyber_Group,Cyber_Monday_2024,HR_Ad,2024-06-01,Lead_Generation,Single_Image,Desktop,HR,VP,5001-10000,Consulting,511981,16058,3.14,1411,8.79,39969.76,2.49,246141.33,6.16,1411,72.7,4.12
Summer_Group,Summer_Sale_2024,Sales_Ad,2024-06-01,Conversions,Sponsored_Content,Desktop,Sales,Manager,501-1000,Consulting,294607,6942,2.36,647,9.32,14168.48,2.04,125913.98,8.89,647,70.85,3.37
Summer_Group,Summer_Sale_2024,Operations_Ad,2024-06-01,Conversions,Video,Mobile,Operations,C-Level,1001-5000,Marketing,273435,8923,3.26,490,5.49,25505.36,2.86,87503.65,3.43,490,66.59,3.51
Back_Group,Back_To_School_2024,IT_Ad,2024-06-01,Conversions,Video,Desktop,IT,Director,1001-5000,Healthcare,264313,8383,3.17,618,7.37,23624.51,2.82,117024.36,4.95,618,72.08,4.16
Back_Group,Back_To_School_2024,Operations_Ad,2024-06-01,Lead_Generation,Sponsored_Content,Desktop,Operations,Manager,501-1000,Marketing,400791,13157,3.28,1188,9.03,35064.77,2.67,247181.74,7.05,1188,68.75,4.11
Spring_Group,Spring_Launch_2024,Operations_Ad,2024-06-01,Conversions,Single_Image,Mobile,Operations,C-Level,1001-5000,Technology,560482,18962,3.38,1517,8.0,53996.78,2.85,307156.6,5.69,1517,65.9,3.35
Spring_Group,Spring_Launch_2024,Operations_Ad,2024-06-01,Brand_Awareness,Video,Desktop,Operations,Director,1001-5000,Marketing,289736,5695,1.97,377,6.62,15890.94,2.79,76430.61,4.81,377,74.82,3.67
Valentine_Group,Valentine_Day_2024,Operations_Ad,2024-06-01,Conversions,Sponsored_Content,Mobile,Operations,C-Level,10001+,Healthcare,531309,16504,3.11,1413,8.56,38167.94,2.31,279428.04,7.32,1413,66.17,3.99
Valentine_Group,Valentine_Day_2024,Sales_Ad,2024-06-01,Brand_Awareness,Video,Desktop,Sales,C-Level,1001-5000,Consulting,446050,10875,2.44,723,6.65,30288.38,2.79,139543.44,4.61,723,68.77,3.92
New_Group,New_Year_2024,IT_Ad,2024-06-01,Conversions,Carousel,Mobile,IT,VP,501-1000,Education,487593,13409,2.75,1027,7.66,26548.65,1.98,202292.37,7.62,1027,66.47,3.36
New_Group,New_Year_2024,HR_Ad,2024-06-01,Brand_Awareness,Video,Mobile,HR,VP,5001-10000,Healthcare,551897,15908,2.88,1444,9.08,37962.5,2.39,300035.61,7.9,1444,65.28,4.12
Holiday_Group,Holiday_Campaign_2024,Sales_Ad,2024-06-02,Conversions,Sponsored_Content,Mobile,Sales,C-Level,5001-10000,Technology,385370,8684,2.25,618,7.12,17661.87,2.03,122516.83,6.94,618,74.6,2.92
Holiday_Group,Holiday_Campaign_2024,Operations_Ad,2024-06-02,Lead_Generation,Sponsored_Content,Desktop,Operations,Director,5001-10000,Education,278516,8365,3.0,440,5.26,20703.98,2.48,94520.08,4.57,440,74.67,3.4
Black_Group,Black_Friday_2024,Finance_Ad,2024-06-02,Brand_Awareness,Video,Desktop,Finance,Director,10001+,Consulting,553943,14340,2.59,1092,7.62,34504.67,2.41,201160.21,5.83,1092,72.71,3.55
Black_Group,Black_Friday_2024,Marketing_Ad,2024-06-02,Brand_Awareness,Sponsored_Content,Desktop,Marketing,Director,5001-10000,Technology,601582,14441,2.4,736,5.1,30727.1,2.13,144118.27,4.69,736,77.83,3.49
Cyber_Group,Cyber_Monday_2024,IT_Ad,2024-06-02,Brand_Awareness,Sponsored_Content,Desktop,IT,C-Level,5001-10000,Technology,374016,7413,1.98,691,9.32,18254.72,2.46,150344.46,8.24,691,65.34,4.06
Cyber_Group,Cyber_Monday_2024,Sales_Ad,2024-06-02,Conversions,Sponsored_Content,Mobile,Sales,VP,5001-10000,Education,396762,13171,3.32,668,5.07,36832.42,2.8,116915.96,3.17,668,64.7,3.6
Summer_Group,Summer_Sale_2024,HR_Ad,2024-06-02,Conversions,Single_Image,Desktop,HR,Director,1001-5000,Technology,362514,10918,3.01,729,6.68,27373.21,2.51,136922.75,5.0,729,77.96,3.12
Summer_Group,Summer_Sale_2024,Finance_Ad,2024-06-02,Conversions,Sponsored_Content,Mobile,Finance,C-Level,501-1000,Education,334613,10186,3.04,665,6.53,26589.79,2.61,115602.81,4.35,665,73.14,4.19
Back_Group,Back_To_School_2024,Operations_Ad,2024-06-02,Brand_Awareness,Video,Desktop,Operations,C-Level,501-1000,Consulting,552402,15290,2.77,1001,6.55,36345.85,2.38,207876.26,5.72,1001,67.53,3.62
Back_Group,Back_To_School_2024,Operations_Ad,2024-06-02,Conversions,Sponsored_Content,Mobile,Operations,Manager,10001+,Marketing,497491,17069,3.43,1366,8.0,38183.71,2.24,266450.14,6.98,1366,68.56,3.25
Spring_Group,Spring_Launch_2024,Marketing_Ad,2024-06-02,Lead_Generation,Video,Mobile,Marketing,Manager,5001-10000,Technology,487648,13740,2.82,1263,9.19,35163.87,2.56,232628.1,6.62,1263,75.46,3.8
Spring_Group,Spring_Launch_2024,Finance_Ad,2024-06-02,Lead_Generation,Video,Desktop,Finance,C-Level,501-1000,Marketing,387298,7946,2.05,478,6.02,22678.76,2.85,90089.48,3.97,478,74.58,3.63
Valentine_Group,Valentine_Day_2024,IT_Ad,2024-06-02,Brand_Awareness,Carousel,Desktop,IT,VP,10001+,Healthcare,166948,5933,3.55,322,5.43,11747.79,1.98,56116.73,4.78,322,72.41,4.28
Valentine_Group,Valentine_Day_2024,IT_Ad,2024-06-02,Brand_Awareness,Sponsored_Content,Mobile,IT,C-Level,501-1000,Consulting,685112,20924,3.05,1698,8.12,56219.74,2.69,340713.89,6.06,1698,75.44,3.37
New_Group,New_Year_2024,HR_Ad,2024-06-02,Lead_Generation,Sponsored_Content,Desktop,HR,C-Level,5001-10000,Healthcare,189700,4826,2.54,444,9.2,9688.83,2.01,90421.39,9.33,444,66.93,3.25
New_Group,New_Year_2024,Marketing_Ad,2024-06-02,Lead_Generation,Single_Image,Mobile,Marketing,C-Level,5001-10000,Marketing,573681,18647,3.25,1106,5.93,44326.64,2.38,181167.67,4.09,1106,73.4,4.0
Holiday_Group,Holiday_Campaign_2024,Marketing_Ad,2024-06-03,Lead_Generation,Carousel,Mobile,Marketing,C-Level,10001+,Consulting,276501,5430,1.96,430,7.92,12544.8,2.31,92087.24,7.34,430,76.39,3.87
